id;customer_id;policy_number;benefit_description;loading_value;benefit_sum_insured
78;102;100000102;ELI;0;11100
79;2;100000002;EFB;0;37800
80;4;100000004;WOD;0;15700
81;6;100000006;ELI_P;0;279000
82;7;100000007;ELI;0;22300
83;8;100000008;ELI_P;0;222300
84;9;100000009;WOT;0;117100
85;10;100000010;ELI_C;0;14700
86;11;100000011;ELI_P;0;9900
87;13;100000013;ELI;0;18200
88;16;100000016;TPD;0;19800
89;17;100000017;CII;0;8800
90;18;100000018;CII;0;120800
91;19;100000019;FSI;0;301400
92;21;100000021;WTD;0;416300
93;22;100000022;CII;0;148700
94;24;100000024;CII;0;459500
95;25;100000025;FIB;0;28900
96;29;100000029;ELI_P;0;6100
97;30;100000030;TPD;0;537900
98;31;100000031;TPD;25;98100
99;39;100000039;ELI_P;0;82600
100;103;100000103;WOD;0;295900
101;108;100000108;ADI;0;45400
102;110;100000110;CII;0;365600
103;114;100000114;CII;0;12800
104;118;100000118;ELI_C;0;142700
105;120;100000120;FIB;0;493300
106;121;100000121;FSI;0;32600
107;123;100000123;WTD;0;359500
108;125;100000125;CII;0;37700
109;126;100000126;ADI;0;26900
110;128;100000128;ELI;0;27700
111;129;100000129;WOT;0;4400
112;130;100000130;AI;0;13200
113;131;100000131;GDB;100;194800
114;134;100000134;AI;0;157300
115;135;100000135;FIB;0;13200
116;137;100000137;ELI_C;0;7200
117;138;100000138;ELI;0;93200
118;139;100000139;TPD;0;10700
119;144;100000144;GCIIB;75;344300
120;148;100000148;ELI;0;372800
121;151;100000151;ELI_C;0;6500
122;152;100000152;EFB;0;235000
123;154;100000154;ELI_P;0;22300
124;155;100000155;ADI_S;0;93100
125;158;100000158;ELI_C;0;111600
126;162;100000162;WOD;50;18200
127;164;100000164;WOT;0;19400
128;165;100000165;ELI_P;0;48800
129;166;100000166;ADI;75;18300
130;169;100000169;WTD;0;17900
131;170;100000170;FSI;0;350800
132;176;100000176;FSI;0;536600
133;183;100000183;GDB;0;423700
134;186;100000186;WOD;0;15400
135;188;100000188;EFB;0;634200
136;193;100000193;CII;0;98200
137;195;100000195;GCIIB;0;11000
138;196;100000196;WTD;0;16300
139;198;100000198;CII;0;8900
140;199;100000199;TPD;0;6300
141;200;100000200;FIB;0;7900
142;202;100000202;GDB;0;73100
143;253;100000253;ADI_S;0;8700
144;203;100000203;EFB;0;24800
145;204;100000204;ELI_P;0;223400
146;205;100000205;ELI;0;132800
147;209;100000209;ELI_P;0;208300
148;210;100000210;GTPDB;50;21900
149;212;100000212;FIB;0;9900
150;215;100000215;ADI;0;298400
151;217;100000217;ELI_P;0;60400
152;221;100000221;ELI_P;100;48800
153;224;100000224;ELI;0;7200
154;226;100000226;AI;0;10900
155;227;100000227;ADI_S;0;111400
156;231;100000231;EFB;25;386700
157;232;100000232;ELI;0;103900
158;238;100000238;ADI_S;0;115900
159;239;100000239;GTPDB;0;269200
160;242;100000242;AI;0;14700
161;243;100000243;CII;0;62800
162;244;100000244;AI;0;4900
163;246;100000246;ADI;0;144600
164;251;100000251;CII;0;239800
165;252;100000252;ADI;0;296700
166;254;100000254;ELI_C;0;591900
167;257;100000257;FIB;0;12800
168;261;100000261;ADI;0;14000
169;263;100000263;ADI;0;13600
170;264;100000264;ELI;0;16100
171;265;100000265;WOD;0;118900
172;266;100000266;TPD;0;200100
173;268;100000268;WOT;0;447000
174;269;100000269;ADI_S;0;23700
175;270;100000270;FIB;0;12300
176;271;100000271;GDB;0;98700
177;272;100000272;GTPDB;0;325800
178;273;100000273;TPD;0;124000
179;274;100000274;GCIIB;0;19200
180;278;100000278;GDB;0;78800
181;282;100000282;WOT;0;213200
182;283;100000283;TPD;0;14500
183;284;100000284;GDB;0;14800
184;285;100000285;ELI;0;25700
185;287;100000287;ELI;0;221800
186;290;100000290;CII;25;18800
187;291;100000291;CII;0;436700
188;293;100000293;WTD;0;19500
189;296;100000296;WOD;0;444200
190;297;100000297;GTPDB;0;6500
191;300;100000300;ADI_S;0;29800
192;301;100000301;ELI_P;0;147600
193;304;100000304;ELI_C;0;27800
194;305;100000305;GDB;0;12000
195;306;100000306;GDB;75;69700
196;307;100000307;ADI;0;236700
197;308;100000308;WTD;0;168000
198;309;100000309;ELI_P;0;25700
199;311;100000311;GTPDB;0;11800
200;312;100000312;FIB;0;48300
201;313;100000313;GDB;0;57200
202;314;100000314;FSI;0;7500
203;315;100000315;WOT;0;299400
204;319;100000319;WOD;50;9900
205;320;100000320;WOD;0;13600
206;322;100000322;WOD;0;275200
207;323;100000323;ELI;0;3500
208;325;100000325;WOT;0;152400
209;330;100000330;ADI_S;0;333200
210;332;100000332;WOT;0;6700
211;334;100000334;WTD;0;138600
212;336;100000336;WOT;0;255700
213;338;100000338;WTD;0;405800
214;339;100000339;TPD;0;15100
215;340;100000340;WOD;25;428400
216;347;100000347;CII;100;120300
217;350;100000350;AI;0;121300
218;354;100000354;WOD;100;208200
219;356;100000356;ADI_S;0;151700
220;358;100000358;FSI;0;95400
221;359;100000359;WOD;0;12300
222;360;100000360;ELI_C;0;14300
223;361;100000361;GTPDB;0;354500
224;364;100000364;AI;0;168400
225;365;100000365;TPD;0;117300
226;367;100000367;WOD;0;254300
227;368;100000368;GCIIB;0;125600
228;369;100000369;FSI;100;5700
229;370;100000370;FSI;0;12700
230;371;100000371;TPD;0;13800
231;373;100000373;EFB;50;201500
232;375;100000375;ADI;25;5500
233;376;100000376;GDB;0;102700
234;377;100000377;ELI;0;299100
235;378;100000378;ELI_P;100;59500
236;380;100000380;ADI_S;0;27100
237;381;100000381;ELI_P;0;137500
238;387;100000387;TPD;0;18700
239;389;100000389;CII;0;57000
240;391;100000391;GDB;0;469600
241;392;100000392;AI;0;207400
242;395;100000395;GCIIB;0;11500
243;396;100000396;ELI_P;100;460400
244;397;100000397;ELI_C;0;42100
245;399;100000399;TPD;100;162300
246;404;100000404;GTPDB;0;95400
247;405;100000405;ADI;0;338800
248;407;100000407;ELI_P;0;40700
249;408;100000408;WTD;0;64700
250;412;100000412;GTPDB;0;10800
251;419;100000419;FSI;0;15000
252;420;100000420;ELI;0;6400
253;422;100000422;AI;0;314400
254;424;100000424;EFB;0;43300
255;428;100000428;GDB;0;425700
256;430;100000430;GCIIB;100;10100
257;431;100000431;TPD;0;53900
258;432;100000432;GTPDB;100;450900
259;433;100000433;EFB;0;85600
260;434;100000434;GCIIB;0;19500
261;435;100000435;EFB;0;15300
262;439;100000439;ADI_S;0;86400
263;440;100000440;FIB;0;11200
264;441;100000441;ADI_S;0;350800
265;444;100000444;ELI;0;113800
266;449;100000449;ELI;0;440800
267;450;100000450;ELI_P;0;309100
268;454;100000454;CII;0;12700
269;457;100000457;ELI_P;0;19800
270;458;100000458;GTPDB;0;36000
271;459;100000459;FSI;0;578800
272;460;100000460;AI;0;15600
273;461;100000461;EFB;0;101800
274;462;100000462;ADI_S;0;367900
275;463;100000463;GCIIB;0;14200
276;464;100000464;AI;0;9600
277;466;100000466;AI;0;224900
278;468;100000468;ELI_C;0;24700
279;469;100000469;GCIIB;0;414500
280;470;100000470;GDB;0;130500
281;472;100000472;AI;0;21700
282;474;100000474;ADI;0;332600
283;475;100000475;EFB;0;91300
284;477;100000477;ADI;0;22300
285;478;100000478;ELI_C;0;249200
286;479;100000479;FSI;0;390100
287;480;100000480;ADI_S;0;148300
288;483;100000483;GDB;0;700
289;488;100000488;TPD;0;402100
290;489;100000489;ELI_P;0;265600
291;494;100000494;GDB;0;99400
292;496;100000496;CII;0;35300
293;499;100000499;ELI_P;0;227100
294;500;100000500;FIB;0;15900
295;599;100000599;WOD;0;12100
296;501;100000501;ADI_S;100;237200
297;504;100000504;WTD;0;385700
298;505;100000505;GDB;0;160000
299;506;100000506;ELI_P;0;211200
300;509;100000509;TPD;0;540100
301;511;100000511;FSI;0;29300
302;512;100000512;WOT;0;139000
303;513;100000513;ADI_S;100;73300
304;514;100000514;FSI;0;140000
305;515;100000515;TPD;0;177600
306;516;100000516;ADI;25;412600
307;517;100000517;ELI_C;0;200600
308;519;100000519;GTPDB;0;298900
309;521;100000521;TPD;0;23800
310;522;100000522;GCIIB;0;57700
311;525;100000525;ELI_C;0;218600
312;528;100000528;CII;0;180300
313;529;100000529;FSI;0;362200
314;530;100000530;ADI;0;167200
315;531;100000531;WOD;0;13000
316;532;100000532;TPD;0;7100
317;533;100000533;ELI;0;361500
318;536;100000536;WOT;0;65500
319;537;100000537;FIB;0;358700
320;538;100000538;GCIIB;0;139800
321;539;100000539;GTPDB;0;255500
322;540;100000540;EFB;75;617100
323;542;100000542;ELI;0;98900
324;543;100000543;ADI;0;14400
325;544;100000544;WOD;0;32200
326;545;100000545;GTPDB;0;467900
327;546;100000546;FSI;75;290000
328;548;100000548;ELI;0;109100
329;549;100000549;GDB;0;142300
330;550;100000550;ADI;0;10000
331;552;100000552;EFB;25;12800
332;553;100000553;AI;0;12000
333;554;100000554;ADI;0;12300
334;555;100000555;CII;0;8300
335;557;100000557;ADI_S;0;257500
336;559;100000559;ELI_P;0;67700
337;562;100000562;FIB;0;20200
338;564;100000564;ELI_P;0;15900
339;565;100000565;WTD;0;151700
340;567;100000567;GDB;0;15200
341;570;100000570;FIB;0;13600
342;575;100000575;ELI_C;0;9200
343;576;100000576;GDB;0;188500
344;578;100000578;FSI;0;165100
345;579;100000579;WOD;0;66100
346;582;100000582;TPD;0;48400
347;583;100000583;ADI_S;0;138500
348;585;100000585;ADI_S;0;273400
349;586;100000586;AI;0;224900
350;588;100000588;FIB;0;170800
351;589;100000589;ADI;0;146700
352;595;100000595;WTD;25;18900
353;596;100000596;CII;0;385200
354;603;100000603;WOT;0;86900
355;604;100000604;ADI;0;53500
356;606;100000606;WOD;0;12900
357;607;100000607;ADI_S;0;102000
358;609;100000609;GTPDB;0;156400
359;610;100000610;ELI;0;22900
360;611;100000611;ELI_C;75;900
361;614;100000614;TPD;25;81200
362;616;100000616;FIB;0;532400
363;617;100000617;AI;0;149200
364;619;100000619;WOD;0;60800
365;622;100000622;WOT;0;88900
366;626;100000626;CII;0;141900
367;627;100000627;FSI;0;11200
368;628;100000628;CII;0;1600
369;630;100000630;FSI;0;7500
370;632;100000632;GTPDB;0;5700
371;633;100000633;AI;0;358200
372;634;100000634;EFB;0;412200
373;635;100000635;CII;0;77400
374;637;100000637;CII;0;58000
375;638;100000638;AI;0;301600
376;639;100000639;ELI_C;0;226800
377;641;100000641;GDB;25;235300
378;643;100000643;TPD;0;24400
379;645;100000645;ADI_S;0;330800
380;652;100000652;TPD;0;14300
381;653;100000653;FIB;0;12800
382;656;100000656;GDB;0;578700
383;657;100000657;FSI;0;146300
384;658;100000658;FSI;0;10200
385;660;100000660;GCIIB;0;80400
386;661;100000661;GDB;100;85800
387;664;100000664;ADI;0;14200
388;665;100000665;ADI_S;0;179500
389;667;100000667;ELI;0;259800
390;669;100000669;AI;0;24600
391;670;100000670;GTPDB;0;16300
392;673;100000673;WOD;0;11000
393;675;100000675;ADI;25;14000
394;676;100000676;ELI_P;0;137200
395;677;100000677;GTPDB;100;270500
396;1873;100001873;FSI;0;261800
397;678;100000678;ADI;0;15100
398;679;100000679;WOD;0;29200
399;681;100000681;ELI;0;35600
400;683;100000683;CII;0;263600
401;689;100000689;GDB;0;10500
402;690;100000690;GTPDB;0;403300
403;691;100000691;FIB;0;12600
404;692;100000692;FIB;0;440200
405;699;100000699;TPD;0;31200
406;704;100000704;ELI_P;0;47300
407;705;100000705;TPD;0;10900
408;708;100000708;FIB;0;296700
409;709;100000709;ELI_P;0;12500
410;710;100000710;ELI_C;0;301600
411;711;100000711;CII;0;308400
412;712;100000712;CII;0;353600
413;715;100000715;GTPDB;0;11600
414;716;100000716;FIB;75;4700
415;721;100000721;ELI_P;0;292700
416;724;100000724;ELI;0;5400
417;725;100000725;AI;0;12100
418;726;100000726;CII;75;13700
419;729;100000729;WTD;0;138700
420;731;100000731;FIB;0;89000
421;733;100000733;EFB;0;94000
422;735;100000735;ELI_C;0;155500
423;737;100000737;ADI_S;0;360100
424;738;100000738;WTD;0;114200
425;739;100000739;TPD;0;7700
426;744;100000744;WOT;0;48600
427;747;100000747;GDB;0;12100
428;753;100000753;AI;0;3000
429;755;100000755;ADI;0;57300
430;756;100000756;WOD;100;107500
431;757;100000757;WTD;0;378700
432;759;100000759;CII;0;72000
433;763;100000763;FIB;0;194500
434;764;100000764;GCIIB;0;9000
435;765;100000765;TPD;0;111600
436;767;100000767;ELI;0;155300
437;768;100000768;WOD;0;11500
438;771;100000771;GCIIB;0;350000
439;773;100000773;GCIIB;0;136700
440;774;100000774;GDB;0;82400
441;775;100000775;WOD;0;10100
442;783;100000783;GTPDB;0;55400
443;786;100000786;TPD;0;61200
444;787;100000787;ELI_P;0;111000
445;788;100000788;ELI_C;0;145200
446;789;100000789;GTPDB;0;171700
447;791;100000791;ELI;100;71000
448;793;100000793;ADI;0;421700
449;794;100000794;AI;0;114100
450;802;100000802;ELI;0;18000
451;803;100000803;ADI_S;0;225600
452;804;100000804;CII;0;204500
453;806;100000806;EFB;0;92000
454;808;100000808;GDB;0;266800
455;809;100000809;ADI_S;0;208700
456;810;100000810;TPD;0;147500
457;813;100000813;FIB;0;218400
458;816;100000816;CII;0;48600
459;817;100000817;WOD;0;15800
460;819;100000819;TPD;0;80200
461;821;100000821;WTD;0;110000
462;822;100000822;GCIIB;50;33200
463;823;100000823;GCIIB;0;13400
464;824;100000824;ADI;0;12900
465;825;100000825;ELI_C;0;8300
466;827;100000827;ELI_C;0;11400
467;828;100000828;ELI_C;0;73900
468;829;100000829;GCIIB;0;108700
469;830;100000830;WOD;0;313600
470;831;100000831;FIB;0;114500
471;833;100000833;GCIIB;0;276900
472;834;100000834;WTD;0;11200
473;839;100000839;ADI_S;0;13200
474;840;100000840;CII;0;110800
475;842;100000842;ADI_S;75;80700
476;843;100000843;WOD;0;40400
477;846;100000846;ELI_C;0;11600
478;848;100000848;ADI;0;22200
479;850;100000850;ELI_P;0;217800
480;852;100000852;WOD;0;237300
481;854;100000854;WTD;0;160600
482;857;100000857;FSI;0;15700
483;860;100000860;TPD;0;139700
484;864;100000864;GDB;0;26700
485;866;100000866;WTD;0;138100
486;867;100000867;WOD;0;14900
487;869;100000869;CII;0;436700
488;872;100000872;WTD;0;8100
489;875;100000875;FIB;0;50100
490;883;100000883;ELI;0;265900
491;884;100000884;CII;0;78400
492;885;100000885;ELI;0;24100
493;887;100000887;CII;0;11400
494;888;100000888;WTD;0;9500
495;892;100000892;AI;0;10100
496;893;100000893;ELI_P;0;12700
497;895;100000895;GDB;0;20900
498;896;100000896;ELI_C;0;493200
499;904;100000904;GDB;0;60400
500;906;100000906;FSI;0;16400
501;909;100000909;FIB;0;7900
502;911;100000911;FSI;50;501800
503;912;100000912;WTD;0;55000
504;914;100000914;CII;0;166700
505;915;100000915;ELI_C;0;114000
506;917;100000917;GDB;0;102200
507;920;100000920;GTPDB;0;8100
508;922;100000922;ELI;0;4800
509;926;100000926;ELI_P;0;23600
510;932;100000932;GTPDB;0;21400
511;934;100000934;ELI;0;226100
512;935;100000935;ADI_S;0;74700
513;936;100000936;CII;0;125500
514;938;100000938;FIB;0;138300
515;939;100000939;FIB;75;25800
516;941;100000941;WOT;50;26600
517;942;100000942;ELI;0;25900
518;943;100000943;FSI;0;43900
519;944;100000944;FSI;0;419100
520;946;100000946;CII;0;45500
521;948;100000948;TPD;0;20700
522;949;100000949;WOT;0;9500
523;950;100000950;ELI_C;0;55000
524;951;100000951;TPD;0;317600
525;952;100000952;GDB;0;153000
526;954;100000954;GDB;0;81200
527;956;100000956;WTD;0;278500
528;957;100000957;ELI;0;390400
529;958;100000958;WTD;0;360000
530;961;100000961;ADI_S;50;156300
531;1164;100001164;TPD;0;194100
532;965;100000965;GTPDB;0;114400
533;968;100000968;ELI_P;50;17800
534;969;100000969;ELI;0;148300
535;971;100000971;ADI_S;50;82300
536;972;100000972;FIB;0;161100
537;977;100000977;AI;75;8400
538;979;100000979;TPD;0;13100
539;980;100000980;WOD;0;11800
540;981;100000981;TPD;75;72300
541;982;100000982;ADI_S;0;273000
542;983;100000983;WOD;0;45100
543;984;100000984;ADI_S;0;7900
544;985;100000985;ADI_S;0;28400
545;987;100000987;WOT;0;18500
546;989;100000989;WTD;0;108800
547;992;100000992;EFB;50;27400
548;994;100000994;GDB;0;131100
549;995;100000995;ADI;0;273600
550;997;100000997;FIB;0;367100
551;999;100000999;ADI_S;0;26600
552;1001;100001001;EFB;0;17800
553;1002;100001002;WOT;0;279700
554;1003;100001003;WOT;0;17400
555;1006;100001006;WOD;0;74700
556;1007;100001007;AI;50;337900
557;1009;100001009;ADI;0;13700
558;1012;100001012;ADI;0;16300
559;1014;100001014;TPD;0;13500
560;1016;100001016;EFB;0;86500
561;1017;100001017;ELI;0;353800
562;1018;100001018;TPD;0;144600
563;1019;100001019;FSI;0;304900
564;1021;100001021;AI;0;29000
565;1022;100001022;ADI;0;518000
566;1023;100001023;ELI;0;15500
567;1027;100001027;TPD;0;395000
568;1028;100001028;WTD;0;64400
569;1032;100001032;WTD;0;308000
570;1036;100001036;FSI;0;9100
571;1038;100001038;ELI_P;0;6700
572;1039;100001039;GCIIB;0;21300
573;1040;100001040;ADI_S;0;119200
574;1041;100001041;GDB;0;5700
575;1042;100001042;FSI;0;9100
576;1043;100001043;FSI;0;428700
577;1044;100001044;ADI;0;8000
578;1045;100001045;GDB;0;5000
579;1048;100001048;CII;0;67400
580;1049;100001049;WOT;0;271300
581;1054;100001054;ADI;0;12800
582;1055;100001055;TPD;0;19400
583;1056;100001056;ELI_P;0;340300
584;1060;100001060;ELI;0;77900
585;1065;100001065;TPD;0;84300
586;1066;100001066;GTPDB;50;56200
587;1068;100001068;WOD;0;160800
588;1069;100001069;WOD;0;120400
589;1070;100001070;FSI;0;259700
590;1071;100001071;ELI_P;0;15400
591;1072;100001072;WOT;0;18400
592;1073;100001073;AI;0;11700
593;1074;100001074;CII;0;228000
594;1077;100001077;GTPDB;0;18500
595;1080;100001080;FSI;0;424900
596;1085;100001085;GTPDB;0;226500
597;1089;100001089;WTD;0;357800
598;1091;100001091;GDB;0;198000
599;1092;100001092;WTD;0;72700
600;1097;100001097;AI;0;25900
601;1514;100001514;ADI_S;0;104100
602;1100;100001100;ADI_S;0;189100
603;1102;100001102;AI;0;162400
604;1104;100001104;GTPDB;0;18400
605;1106;100001106;ADI_S;0;69700
606;1108;100001108;WTD;0;10400
607;1111;100001111;GTPDB;0;12300
608;1121;100001121;WOD;0;57200
609;1123;100001123;TPD;0;244300
610;1241;100001241;WOT;0;16000
611;1125;100001125;ELI;0;302100
612;1128;100001128;EFB;0;592600
613;1129;100001129;ELI_P;0;155100
614;1131;100001131;TPD;25;3000
615;1132;100001132;FSI;0;439400
616;1134;100001134;ELI_C;0;6800
617;1136;100001136;AI;0;163000
618;1138;100001138;GDB;0;11700
619;1139;100001139;TPD;0;97100
620;1140;100001140;ELI_P;0;104900
621;1141;100001141;TPD;0;11400
622;1142;100001142;WOT;0;7900
623;1145;100001145;ELI_C;0;13300
624;1148;100001148;TPD;0;162100
625;1150;100001150;WOD;0;139800
626;1281;100001281;CII;25;17800
627;1152;100001152;ELI;100;138700
628;1154;100001154;FSI;0;236900
629;1158;100001158;GDB;25;26700
630;1161;100001161;FIB;0;264000
631;1165;100001165;ADI_S;0;77000
632;1167;100001167;ELI_C;0;532400
633;1170;100001170;CII;0;174300
634;1171;100001171;ELI;0;73200
635;1174;100001174;GCIIB;0;113200
636;1175;100001175;GCIIB;0;14500
637;1176;100001176;FSI;0;160700
638;1178;100001178;ADI;0;56800
639;1180;100001180;ADI_S;0;338500
640;1182;100001182;FSI;0;128400
641;1183;100001183;EFB;0;134800
642;1184;100001184;TPD;0;189100
643;1185;100001185;ADI_S;0;8200
644;1186;100001186;ELI_C;0;25700
645;1187;100001187;GCIIB;0;644500
646;1191;100001191;WOT;25;9700
647;1192;100001192;CII;0;8700
648;1194;100001194;FSI;0;27200
649;1195;100001195;ADI;0;95400
650;1198;100001198;GTPDB;50;415800
651;1201;100001201;GDB;0;546600
652;1202;100001202;CII;0;216500
653;1205;100001205;ADI;0;379700
654;1207;100001207;FSI;0;353700
655;1208;100001208;WOD;0;41800
656;1210;100001210;ADI;0;251900
657;1212;100001212;FSI;0;11400
658;1215;100001215;ELI_P;0;16900
659;1219;100001219;ELI;0;98900
660;1220;100001220;FSI;0;406400
661;1222;100001222;GCIIB;0;171300
662;1224;100001224;GTPDB;0;141100
663;1227;100001227;ADI_S;0;152100
664;1228;100001228;ADI;0;23400
665;1230;100001230;TPD;0;85200
666;1234;100001234;GTPDB;0;490300
667;1236;100001236;GTPDB;0;15400
668;1240;100001240;GCIIB;0;159400
669;1245;100001245;FIB;0;95600
670;1247;100001247;TPD;0;56000
671;1252;100001252;WTD;0;389800
672;1255;100001255;ELI_P;0;292200
673;1256;100001256;EFB;0;34300
674;1257;100001257;WTD;50;75700
675;1259;100001259;ELI_P;0;20200
676;1261;100001261;ADI;50;7300
677;1263;100001263;WTD;0;226600
678;1269;100001269;WTD;0;23300
679;1272;100001272;ADI;25;33100
680;1273;100001273;WOD;0;20100
681;1275;100001275;WOT;0;201200
682;1277;100001277;GTPDB;0;152800
683;1279;100001279;WTD;0;128700
684;1282;100001282;FSI;0;165500
685;1285;100001285;ADI_S;0;18500
686;1875;100001875;ADI_S;0;354600
687;1289;100001289;FIB;0;8600
688;1295;100001295;AI;0;102700
689;1296;100001296;ELI_P;0;102000
690;1298;100001298;WOD;0;187800
691;1299;100001299;ADI_S;0;351300
692;1304;100001304;GDB;0;312100
693;1306;100001306;ADI;100;6500
694;1309;100001309;ELI_C;0;204900
695;1316;100001316;FSI;0;104200
696;1317;100001317;WOT;0;11300
697;1318;100001318;WTD;0;223200
698;1322;100001322;FSI;0;15100
699;1325;100001325;WOD;0;18100
700;1326;100001326;WTD;0;51900
701;1329;100001329;WOT;0;16400
702;1332;100001332;CII;0;147800
703;1336;100001336;ADI;0;8600
704;1337;100001337;TPD;0;216000
705;1338;100001338;ELI_P;0;92800
706;1339;100001339;FSI;0;15500
707;1341;100001341;TPD;0;327800
708;1342;100001342;AI;0;99000
709;1345;100001345;CII;0;70800
710;1347;100001347;WOT;0;334400
711;1349;100001349;FSI;0;149100
712;1351;100001351;GDB;0;57900
713;1353;100001353;GTPDB;0;13900
714;1354;100001354;GCIIB;0;200900
715;1362;100001362;WTD;0;24900
716;1363;100001363;WOD;0;114900
717;1367;100001367;FSI;0;24600
718;1369;100001369;ELI;0;26200
719;1371;100001371;EFB;0;10100
720;1373;100001373;WOD;0;599700
721;1375;100001375;ELI_P;0;498700
722;1378;100001378;AI;0;74900
723;1379;100001379;WOT;0;16000
724;1382;100001382;ADI_S;0;195700
725;1383;100001383;ELI;0;21700
726;1387;100001387;ELI_P;0;5400
727;1390;100001390;GTPDB;0;533700
728;1391;100001391;FIB;0;250900
729;1392;100001392;WTD;0;53100
730;1393;100001393;ELI_P;0;177800
731;1394;100001394;GDB;50;117600
732;1395;100001395;WOT;0;337800
733;1398;100001398;WOD;0;25500
734;1399;100001399;ELI_P;0;424800
735;1401;100001401;FSI;0;55200
736;1403;100001403;GDB;0;101700
737;1404;100001404;ADI;0;29600
738;1406;100001406;WTD;0;42400
739;1407;100001407;CII;0;172200
740;1408;100001408;FIB;0;9200
741;1409;100001409;WOD;0;109400
742;1417;100001417;ELI_P;0;217300
743;1419;100001419;ADI;0;127200
744;1420;100001420;ELI_P;0;239600
745;1421;100001421;WTD;0;17600
746;1422;100001422;ADI_S;25;16700
747;1423;100001423;WTD;0;8400
748;1424;100001424;ADI_S;0;497000
749;1425;100001425;AI;0;269300
750;1426;100001426;ADI_S;0;14700
751;1428;100001428;WOT;0;136800
752;1429;100001429;TPD;0;144400
753;1430;100001430;ELI;0;436500
754;1432;100001432;GDB;0;9700
755;1433;100001433;ELI_C;0;185000
756;1434;100001434;ADI_S;0;145500
757;1435;100001435;ELI_C;0;254500
758;1438;100001438;ELI_P;0;81000
759;1439;100001439;ELI_P;0;18800
760;1441;100001441;GDB;0;343900
761;1442;100001442;FSI;0;18700
762;1443;100001443;WOD;0;101800
763;1444;100001444;CII;0;397600
764;1771;100001771;TPD;50;13000
765;1446;100001446;GDB;0;116700
766;1448;100001448;GCIIB;0;20400
767;1449;100001449;TPD;0;178800
768;1450;100001450;GDB;0;215400
769;1451;100001451;WOT;0;41900
770;1457;100001457;WTD;0;403900
771;1460;100001460;AI;0;5200
772;1464;100001464;GDB;0;273400
773;1467;100001467;ADI;0;220600
774;1468;100001468;FSI;0;20700
775;1469;100001469;ADI;0;34600
776;1470;100001470;ELI;50;15600
777;1473;100001473;TPD;0;62300
778;1476;100001476;FIB;0;452400
779;1479;100001479;GDB;0;8900
780;1480;100001480;ELI;0;119600
781;1481;100001481;AI;0;135600
782;1484;100001484;TPD;50;84500
783;1486;100001486;GCIIB;0;77200
