id;customer_id;policy_number;from_fund;from_movement_value;to_fund;to_movement_value;switch_factor;authorised_date
50;956;100000956;Equities;733;Conservative;733;50;2025-11-08
51;1007;100001007;EGX30 ETF;4397;Active;4397;75;2025-08-21
52;1027;100001027;Money Market;1723;EGP AXA10;1723;50;2024-05-24
53;1048;100001048;Conservative;2889;Diversified;2889;75;2025-09-15
54;1066;100001066;Dollar Saver;613;Al Safwa;613;75;2025-07-24
55;1069;100001069;Diversified;4219;Money Market;4219;75;2024-09-02
56;1091;100001091;USD Growth Saver;2263;Active;2263;100;2024-05-15
57;1132;100001132;Growth;370;Money Market;370;50;2024-08-14
58;1134;100001134;Dollar Saver;676;Active;676;25;2025-03-02
59;1186;100001186;USD Growth Saver;3795;Money Market;3795;50;2024-07-21
60;1202;100001202;EGP AXA10;2958;Al Safwa;2958;50;2024-07-11
61;1210;100001210;EGX30 ETF;1186;Active;1186;75;2025-07-02
62;1222;100001222;USD Growth Saver;1327;EGP AXA10;1327;50;2025-01-23
63;1224;100001224;Diversified;5231;Growth;5231;100;2024-06-05
64;1227;100001227;USD Growth Saver;1179;EGX30 ETF;1179;25;2024-04-07
65;1240;100001240;Diversified;1743;Secure;1743;100;2024-07-10
66;1273;100001273;EGX30 ETF;598;Gold;598;100;2024-07-11
67;1309;100001309;Growth;1325;USD Growth Saver;1325;100;2025-05-09
68;1332;100001332;Money Market;6644;Sama;6644;50;2024-05-31
69;1771;100001771;Money Market;2232;EGP AXA10;2232;25;2025-01-10
70;1515;100001515;USD Growth Saver;1556;Money Market;1556;75;2025-02-04
71;1518;100001518;Dollar Saver;1228;Conservative;1228;75;2024-05-26
72;1519;100001519;Secure;344;USD AXA9;344;75;2025-08-13
73;1573;100001573;EGP AXA10;1080;Diversified;1080;75;2025-04-21
74;1575;100001575;Money Market;1441;Al Safwa;1441;50;2025-12-11
75;1624;100001624;Money Market;1312;Sama;1312;100;2024-08-04
76;1631;100001631;USD AXA9;3949;EGX30 ETF;3949;50;2025-03-24
77;1669;100001669;Active;990;Money Market;990;100;2024-11-06
78;1671;100001671;USD AXA9;2490;USD AXA9;2490;75;2025-04-22
79;1672;100001672;EGX30 ETF;2270;Secure;2270;25;2025-05-07
80;1688;100001688;Dollar Saver;4366;Equities;4366;75;2025-11-17
81;1768;100001768;Growth;1727;Growth;1727;50;2025-06-15
82;1789;100001789;Growth;2278;USD AXA9;2278;25;2025-02-11
83;1810;100001810;USD AXA9;514;Money Market;514;100;2025-08-23
84;1846;100001846;Sama;4574;USD Growth Saver;4574;25;2025-12-29
85;1850;100001850;Equities;2026;Gold;2026;75;2025-01-28
86;1854;100001854;Dollar Saver;1068;Conservative;1068;100;2025-07-19
87;1890;100001890;Equities;1356;Money Market;1356;100;2025-08-31
88;1899;100001899;Sama;1577;USD AXA9;1577;75;2025-02-07
89;1916;100001916;EGP AXA10;2103;Money Market;2103;75;2025-06-13
90;1928;100001928;USD Growth Saver;1467;Diversified;1467;100;2024-02-07
91;1932;100001932;EGX30 ETF;2780;Active;2780;100;2024-12-25
92;1964;100001964;Diversified;746;Active;746;75;2024-03-02
93;2012;100002012;Sama;2844;Growth;2844;50;2025-08-01
94;2023;100002023;Gold;629;EGX30 ETF;629;50;2024-11-11
95;2047;100002047;USD Growth Saver;584;USD Growth Saver;584;25;2024-05-28
96;4489;100004489;Equities;1516;USD Growth Saver;1516;75;2025-09-20
97;2049;100002049;Growth;2431;Growth;2431;25;2025-04-09
98;2133;100002133;Conservative;2967;EGX30 ETF;2967;100;2025-10-14
99;2146;100002146;USD AXA9;3455;Growth;3455;75;2024-11-05
100;2161;100002161;Conservative;1653;Money Market;1653;100;2025-08-25
101;2166;100002166;Secure;3937;USD AXA9;3937;25;2025-06-11
102;2215;100002215;USD Growth Saver;781;Secure;781;100;2024-05-31
103;2229;100002229;EGX30 ETF;1299;EGP AXA10;1299;50;2024-02-08
104;2238;100002238;Equities;2082;EGP AXA10;2082;75;2024-05-18
105;2261;100002261;Diversified;1691;USD Growth Saver;1691;25;2025-02-25
106;2265;100002265;Gold;2871;Equities;2871;25;2024-08-30
107;2271;100002271;EGX30 ETF;1924;EGP AXA10;1924;25;2025-06-12
108;2281;100002281;Secure;1924;EGP AXA10;1924;75;2024-12-24
109;2334;100002334;Conservative;710;EGP AXA10;710;25;2024-04-08
110;2395;100002395;Dollar Saver;2911;EGX30 ETF;2911;100;2025-07-16
111;2401;100002401;USD AXA9;94;Secure;94;75;2024-11-10
112;2446;100002446;Dollar Saver;2232;Sama;2232;50;2025-09-26
113;2489;100002489;Active;3224;EGP AXA10;3224;50;2025-12-13
114;2525;100002525;USD Growth Saver;960;USD AXA9;960;50;2025-02-01
115;2529;100002529;EGX30 ETF;2489;Dollar Saver;2489;50;2025-01-29
116;2551;100002551;Conservative;5085;EGX30 ETF;5085;75;2024-10-09
117;2579;100002579;Money Market;1238;Growth;1238;100;2024-11-27
118;2613;100002613;EGP AXA10;1387;Sama;1387;25;2024-05-02
119;2653;100002653;USD AXA9;2026;Secure;2026;50;2024-10-04
120;2686;100002686;Growth;812;Sama;812;50;2024-10-27
121;2697;100002697;Growth;1556;Secure;1556;50;2024-10-14
122;2703;100002703;Diversified;672;Active;672;50;2025-01-21
123;2780;100002780;Dollar Saver;1326;Al Safwa;1326;100;2025-10-05
124;2782;100002782;Diversified;6098;Sama;6098;100;2024-06-15
125;2784;100002784;Dollar Saver;802;EGX30 ETF;802;50;2024-10-31
126;2809;100002809;Sama;6814;USD Growth Saver;6814;100;2025-05-01
127;2819;100002819;Diversified;2593;Sama;2593;25;2025-06-30
128;2834;100002834;Active;2561;USD Growth Saver;2561;50;2024-10-09
129;2972;100002972;USD AXA9;1806;Gold;1806;50;2025-04-01
130;2975;100002975;Equities;3915;EGP AXA10;3915;100;2024-10-14
131;3007;100003007;USD Growth Saver;1479;USD Growth Saver;1479;25;2025-01-19
132;3019;100003019;Equities;6131;Equities;6131;100;2024-02-07
133;3021;100003021;Dollar Saver;892;Dollar Saver;892;75;2024-05-28
134;3025;100003025;Active;1528;Money Market;1528;25;2024-05-14
135;3117;100003117;Equities;1911;Conservative;1911;75;2025-10-09
136;3127;100003127;Equities;994;Gold;994;100;2025-08-19
137;3177;100003177;EGP AXA10;4850;Gold;4850;25;2025-09-23
138;3219;100003219;Conservative;610;EGX30 ETF;610;75;2025-10-20
139;3226;100003226;EGX30 ETF;4229;EGP AXA10;4229;50;2025-05-06
140;3234;100003234;Active;1382;Equities;1382;50;2025-08-01
141;3249;100003249;USD AXA9;556;Dollar Saver;556;25;2025-02-22
142;3361;100003361;Sama;147;Dollar Saver;147;100;2024-03-05
143;3448;100003448;USD AXA9;968;Equities;968;50;2025-11-13
144;3482;100003482;Sama;1421;Sama;1421;100;2025-06-12
145;3502;100003502;EGX30 ETF;664;Secure;664;25;2025-11-30
146;3531;100003531;Al Safwa;1385;USD Growth Saver;1385;100;2025-12-07
147;3538;100003538;Gold;694;Secure;694;75;2025-05-08
148;3551;100003551;Al Safwa;1353;USD Growth Saver;1353;25;2024-03-05
149;3565;100003565;Diversified;4842;Growth;4842;25;2025-08-17
150;3595;100003595;Al Safwa;719;Growth;719;25;2024-10-01
151;3601;100003601;Secure;3500;Money Market;3500;75;2025-09-08
152;4331;100004331;Dollar Saver;6218;Conservative;6218;50;2024-03-22
153;3616;100003616;Al Safwa;581;Al Safwa;581;100;2025-06-03
154;3636;100003636;Al Safwa;567;Active;567;50;2024-04-08
155;3644;100003644;EGP AXA10;2315;Growth;2315;50;2025-02-10
156;3681;100003681;Active;2006;Growth;2006;50;2025-12-16
157;3690;100003690;Money Market;3492;Dollar Saver;3492;50;2024-02-20
158;3697;100003697;EGX30 ETF;4319;Dollar Saver;4319;100;2024-03-31
159;3707;100003707;EGX30 ETF;1957;Conservative;1957;100;2024-09-12
160;3726;100003726;Diversified;2027;EGX30 ETF;2027;50;2024-10-26
161;3751;100003751;Sama;3684;USD AXA9;3684;75;2024-04-04
162;3773;100003773;USD Growth Saver;2849;Conservative;2849;100;2024-07-24
163;3817;100003817;EGX30 ETF;406;EGP AXA10;406;25;2025-03-18
164;3831;100003831;Diversified;1738;Sama;1738;50;2025-07-13
165;3838;100003838;Dollar Saver;1602;Al Safwa;1602;25;2024-07-07
166;3843;100003843;Active;3129;Equities;3129;75;2025-04-05
167;3919;100003919;Sama;1187;Diversified;1187;25;2024-11-24
168;3932;100003932;Gold;3198;Gold;3198;100;2025-04-22
169;3945;100003945;EGP AXA10;1302;Equities;1302;75;2024-06-11
170;3993;100003993;Growth;3082;Diversified;3082;100;2025-05-26
171;3994;100003994;Dollar Saver;526;EGX30 ETF;526;100;2025-07-12
172;3998;100003998;Active;1303;USD Growth Saver;1303;25;2025-09-10
173;3999;100003999;USD Growth Saver;2259;Money Market;2259;75;2025-10-05
174;4014;100004014;Gold;2078;Gold;2078;100;2024-04-08
175;4024;100004024;EGX30 ETF;1494;Gold;1494;100;2024-09-28
176;4025;100004025;Sama;2367;EGP AXA10;2367;50;2025-09-23
177;4035;100004035;EGX30 ETF;3154;EGP AXA10;3154;25;2025-06-27
178;4060;100004060;Growth;3862;Conservative;3862;100;2025-09-30
179;4075;100004075;Gold;3767;Growth;3767;100;2025-10-21
180;4088;100004088;Equities;2733;Equities;2733;25;2024-12-10
181;4132;100004132;Al Safwa;3529;Secure;3529;75;2024-12-27
182;4157;100004157;USD AXA9;3541;Al Safwa;3541;100;2025-09-28
183;4201;100004201;Dollar Saver;4744;USD Growth Saver;4744;50;2025-10-18
184;4203;100004203;USD AXA9;2824;EGX30 ETF;2824;25;2024-03-02
185;4211;100004211;Growth;482;EGP AXA10;482;25;2025-11-08
186;4272;100004272;USD AXA9;1804;Diversified;1804;25;2024-05-22
187;4306;100004306;Secure;2294;Dollar Saver;2294;25;2025-10-10
188;4314;100004314;Al Safwa;2514;Gold;2514;100;2025-06-18
189;4342;100004342;Active;1074;Al Safwa;1074;100;2024-06-05
190;4484;100004484;EGP AXA10;3954;Equities;3954;100;2025-01-04
191;4535;100004535;Secure;1562;Sama;1562;75;2025-01-21
192;4571;100004571;USD Growth Saver;2755;Growth;2755;50;2024-03-01
193;4577;100004577;EGP AXA10;1397;Growth;1397;75;2025-07-11
194;4581;100004581;USD AXA9;1649;Conservative;1649;75;2024-06-17
195;4602;100004602;EGP AXA10;2284;Money Market;2284;50;2025-07-14
196;4622;100004622;Equities;3954;EGX30 ETF;3954;25;2025-05-07
197;4657;100004657;USD AXA9;1008;Equities;1008;50;2024-04-18
198;4658;100004658;Gold;1734;Conservative;1734;75;2024-12-15
199;4690;100004690;Conservative;2989;Gold;2989;75;2024-11-14
200;4717;100004717;USD AXA9;2489;Sama;2489;50;2025-12-30
201;4760;100004760;Secure;2042;Al Safwa;2042;75;2025-05-07
202;4787;100004787;Secure;425;Sama;425;50;2024-07-13
203;4819;100004819;Active;2718;Equities;2718;75;2025-10-09
204;4823;100004823;Gold;4141;EGP AXA10;4141;50;2025-01-28
205;5041;100005041;Dollar Saver;3885;Diversified;3885;25;2025-02-14
206;4871;100004871;Al Safwa;356;EGX30 ETF;356;50;2024-10-25
207;4904;100004904;USD AXA9;1955;Diversified;1955;25;2025-02-18
208;4919;100004919;Dollar Saver;167;USD Growth Saver;167;25;2025-05-24
209;5059;100005059;Active;4133;Dollar Saver;4133;100;2025-08-11
210;5077;100005077;EGX30 ETF;1170;Dollar Saver;1170;50;2025-06-02
211;5085;100005085;Equities;377;Al Safwa;377;100;2025-02-14
212;5098;100005098;Diversified;2357;Money Market;2357;75;2024-02-06
213;5105;100005105;Active;3831;Active;3831;75;2024-05-01
214;5156;100005156;Al Safwa;2500;Dollar Saver;2500;100;2024-04-19
215;5175;100005175;Growth;1427;Secure;1427;50;2024-06-08
216;5180;100005180;USD AXA9;4509;USD AXA9;4509;25;2025-01-01
217;5185;100005185;Diversified;535;Money Market;535;100;2024-07-14
218;5216;100005216;USD Growth Saver;1372;Al Safwa;1372;25;2025-09-25
219;5229;100005229;Growth;625;Equities;625;50;2024-07-28
220;5242;100005242;USD AXA9;3330;USD AXA9;3330;25;2024-05-12
221;5305;100005305;Al Safwa;1136;Equities;1136;75;2024-05-14
222;5315;100005315;Al Safwa;440;Active;440;50;2025-04-05
223;5349;100005349;Money Market;1025;Conservative;1025;100;2025-11-24
224;5359;100005359;EGP AXA10;2447;USD Growth Saver;2447;75;2025-09-09
225;5375;100005375;USD Growth Saver;5905;Growth;5905;75;2025-08-27
226;5464;100005464;Secure;1195;Conservative;1195;75;2025-07-10
227;5479;100005479;Gold;2307;Equities;2307;75;2025-04-15
228;5489;100005489;Conservative;1655;Conservative;1655;75;2025-01-05
229;5529;100005529;Diversified;639;Secure;639;50;2025-08-08
230;5533;100005533;USD AXA9;733;USD Growth Saver;733;75;2025-09-27
231;5535;100005535;Secure;2414;Secure;2414;25;2025-09-19
232;5551;100005551;Dollar Saver;371;EGX30 ETF;371;50;2024-07-21
233;5595;100005595;USD Growth Saver;2713;USD Growth Saver;2713;50;2024-10-09
234;5640;100005640;Gold;2788;Sama;2788;50;2024-03-17
235;5690;100005690;Conservative;2192;Conservative;2192;75;2024-11-26
236;5703;100005703;Equities;1278;Conservative;1278;75;2024-04-08
237;5730;100005730;Conservative;2065;EGP AXA10;2065;50;2025-11-08
238;5733;100005733;USD Growth Saver;2843;Equities;2843;25;2025-08-31
239;5741;100005741;USD AXA9;2413;Equities;2413;100;2024-10-30
240;5743;100005743;Sama;1564;Diversified;1564;25;2025-09-01
241;5749;100005749;Sama;1846;Dollar Saver;1846;50;2025-11-24
242;5839;100005839;USD AXA9;3146;EGP AXA10;3146;75;2024-04-15
243;5852;100005852;Growth;434;Dollar Saver;434;100;2024-09-01
244;5871;100005871;Gold;2719;EGX30 ETF;2719;75;2025-01-03
245;5927;100005927;Money Market;1339;Diversified;1339;50;2025-12-23
246;5943;100005943;EGP AXA10;1959;USD Growth Saver;1959;25;2024-06-24
247;6025;100006025;Sama;2244;Sama;2244;100;2025-08-30
248;6040;100006040;Equities;878;Secure;878;50;2024-07-31
249;6053;100006053;USD AXA9;2935;Sama;2935;75;2025-04-05
250;6097;100006097;Active;6092;Sama;6092;25;2025-12-02
251;6196;100006196;Growth;419;Sama;419;25;2024-04-14
252;6242;100006242;Diversified;4816;Growth;4816;25;2024-11-01
253;6254;100006254;EGX30 ETF;2216;Money Market;2216;75;2025-01-07
254;6282;100006282;EGX30 ETF;1556;Gold;1556;75;2025-01-04
255;6308;100006308;Gold;939;Growth;939;25;2025-05-05
256;6347;100006347;EGP AXA10;1723;EGX30 ETF;1723;100;2024-07-18
257;6437;100006437;Dollar Saver;3334;Growth;3334;50;2024-02-04
258;6441;100006441;EGP AXA10;3097;USD AXA9;3097;50;2024-05-10
259;6467;100006467;Conservative;2455;EGP AXA10;2455;75;2025-11-17
260;6488;100006488;USD AXA9;1189;Sama;1189;50;2025-11-14
261;6525;100006525;Growth;3137;USD AXA9;3137;25;2024-06-24
262;6570;100006570;Dollar Saver;2399;Active;2399;25;2025-02-25
263;6577;100006577;EGX30 ETF;1142;Dollar Saver;1142;25;2025-06-12
264;6594;100006594;Active;3186;Growth;3186;100;2025-01-26
265;6620;100006620;Dollar Saver;4741;Money Market;4741;75;2025-06-10
266;6641;100006641;Equities;1453;USD AXA9;1453;75;2024-05-26
267;6703;100006703;Secure;481;Al Safwa;481;50;2025-12-21
268;6706;100006706;Growth;2759;USD Growth Saver;2759;100;2024-09-10
269;6742;100006742;Equities;2891;USD Growth Saver;2891;100;2024-04-24
270;6814;100006814;Money Market;947;USD Growth Saver;947;100;2024-07-30
271;6821;100006821;Sama;5419;Growth;5419;50;2025-05-22
272;6905;100006905;Sama;3316;Diversified;3316;75;2025-03-12
273;6919;100006919;USD Growth Saver;1412;Secure;1412;100;2024-05-07
274;6967;100006967;USD Growth Saver;518;Secure;518;100;2024-11-02
275;6988;100006988;Equities;1449;Equities;1449;50;2025-05-09
276;7023;100007023;USD AXA9;1488;USD Growth Saver;1488;75;2024-11-21
277;7030;100007030;Growth;2552;EGX30 ETF;2552;100;2024-06-07
278;7137;100007137;Secure;473;USD AXA9;473;50;2024-04-26
279;7234;100007234;Secure;1116;Conservative;1116;100;2025-03-20
280;7257;100007257;Diversified;581;Sama;581;25;2024-05-22
281;7289;100007289;Sama;2013;EGX30 ETF;2013;100;2025-09-17
282;7293;100007293;Gold;2066;Conservative;2066;75;2024-02-10
283;7305;100007305;EGP AXA10;1194;Diversified;1194;75;2024-02-16
284;7337;100007337;Sama;4121;Gold;4121;75;2025-11-17
285;7361;100007361;Al Safwa;2161;EGP AXA10;2161;100;2024-06-25
286;7392;100007392;Conservative;2638;Sama;2638;50;2024-10-19
287;7408;100007408;Active;1273;USD AXA9;1273;75;2025-08-03
288;7413;100007413;EGX30 ETF;1756;Equities;1756;75;2025-04-05
289;7442;100007442;Growth;1332;USD Growth Saver;1332;75;2024-07-24
290;7482;100007482;Growth;2490;Al Safwa;2490;25;2024-07-14
291;7484;100007484;USD Growth Saver;2265;USD AXA9;2265;75;2025-03-14
292;7501;100007501;Gold;3521;Gold;3521;100;2025-07-12
293;7521;100007521;Equities;1332;Secure;1332;50;2025-09-21
294;7559;100007559;Sama;834;Active;834;50;2025-07-19
295;7562;100007562;EGX30 ETF;807;USD AXA9;807;100;2025-02-27
296;7590;100007590;Al Safwa;4610;Secure;4610;50;2024-05-04
297;7595;100007595;Secure;1644;Al Safwa;1644;50;2024-03-23
298;7639;100007639;Growth;2524;Money Market;2524;100;2024-09-25
299;7677;100007677;EGP AXA10;1898;Sama;1898;50;2025-01-09
300;7699;100007699;USD Growth Saver;762;Diversified;762;100;2025-04-26
301;7719;100007719;USD Growth Saver;5129;Dollar Saver;5129;25;2025-06-22
302;7750;100007750;Conservative;532;EGX30 ETF;532;75;2025-07-21
303;7755;100007755;EGX30 ETF;7130;Conservative;7130;50;2024-02-14
304;7859;100007859;Secure;1607;Money Market;1607;50;2024-05-05
305;7791;100007791;Gold;1507;EGP AXA10;1507;25;2024-04-01
306;7811;100007811;EGX30 ETF;4064;Active;4064;50;2025-01-07
307;7822;100007822;Money Market;1758;Dollar Saver;1758;50;2025-12-28
308;7835;100007835;Equities;6892;USD Growth Saver;6892;75;2025-09-24
309;7839;100007839;Al Safwa;1202;USD AXA9;1202;75;2024-09-04
310;7846;100007846;Diversified;703;Money Market;703;75;2024-03-17
311;7864;100007864;Equities;3169;USD Growth Saver;3169;75;2025-05-29
312;7920;100007920;Equities;2575;USD AXA9;2575;50;2024-11-11
313;7922;100007922;Secure;580;Secure;580;50;2024-07-27
314;7979;100007979;Secure;650;Al Safwa;650;50;2025-06-03
315;8013;100008013;Money Market;2449;USD AXA9;2449;25;2025-11-14
316;8018;100008018;USD AXA9;2462;Conservative;2462;50;2025-09-22
317;8056;100008056;EGX30 ETF;3655;EGX30 ETF;3655;25;2024-10-06
318;8063;100008063;Sama;1208;Conservative;1208;75;2025-04-08
319;8089;100008089;EGP AXA10;3580;Money Market;3580;50;2025-10-29
320;8111;100008111;Growth;447;EGP AXA10;447;75;2025-03-05
321;8129;100008129;USD AXA9;3630;Secure;3630;50;2025-06-21
322;8161;100008161;Gold;4417;EGX30 ETF;4417;100;2025-07-28
323;8169;100008169;Conservative;2302;USD AXA9;2302;25;2024-08-19
324;8171;100008171;Secure;3319;USD Growth Saver;3319;100;2025-04-12
325;8191;100008191;EGX30 ETF;544;Dollar Saver;544;100;2025-02-14
326;8322;100008322;Active;1551;Sama;1551;25;2024-03-05
327;8335;100008335;Sama;3731;Sama;3731;100;2025-11-07
328;8352;100008352;USD AXA9;1014;USD AXA9;1014;100;2025-03-19
329;8393;100008393;USD Growth Saver;2656;Diversified;2656;75;2024-10-26
330;8408;100008408;Equities;4087;Al Safwa;4087;75;2025-07-13
331;8412;100008412;Gold;2784;USD AXA9;2784;75;2025-03-18
332;8414;100008414;Dollar Saver;1909;Conservative;1909;100;2025-08-16
333;8416;100008416;Secure;1812;Secure;1812;25;2024-12-06
334;8436;100008436;Dollar Saver;1918;Growth;1918;100;2025-03-31
335;8524;100008524;EGP AXA10;5267;USD Growth Saver;5267;25;2024-03-26
336;8533;100008533;USD AXA9;2728;Sama;2728;100;2025-03-06
337;8549;100008549;Sama;3862;Al Safwa;3862;50;2024-10-21
338;8557;100008557;Active;536;EGP AXA10;536;75;2025-01-01
339;8612;100008612;Sama;1259;Equities;1259;100;2025-03-19
340;8617;100008617;Dollar Saver;3481;EGP AXA10;3481;75;2024-12-22
341;8667;100008667;Al Safwa;3507;Active;3507;100;2025-06-30
342;8670;100008670;USD AXA9;5340;Sama;5340;25;2024-03-03
343;8704;100008704;Sama;1289;Money Market;1289;75;2025-03-08
344;8710;100008710;Sama;3429;Sama;3429;50;2024-10-15
345;8747;100008747;USD AXA9;4313;Money Market;4313;25;2024-08-31
346;8793;100008793;Conservative;3028;Active;3028;100;2025-01-12
347;8795;100008795;Al Safwa;2830;Active;2830;100;2025-08-01
348;8817;100008817;Conservative;2312;Active;2312;50;2024-11-16
349;8821;100008821;Diversified;521;Diversified;521;100;2025-06-01
350;8834;100008834;Diversified;2294;Active;2294;25;2025-07-25
351;8880;100008880;Sama;2950;Al Safwa;2950;75;2025-02-22
352;8883;100008883;Growth;672;USD AXA9;672;100;2024-09-10
353;8911;100008911;Gold;1740;Money Market;1740;25;2025-06-27
354;8950;100008950;Conservative;2214;EGX30 ETF;2214;50;2024-07-02
355;8972;100008972;USD Growth Saver;1770;USD AXA9;1770;75;2024-08-28
356;9004;100009004;Conservative;782;Equities;782;25;2025-02-28
357;9019;100009019;USD AXA9;1714;Active;1714;75;2025-02-23
358;9024;100009024;Dollar Saver;66;Growth;66;75;2025-03-31
359;9065;100009065;EGP AXA10;766;USD AXA9;766;100;2024-10-07
360;9098;100009098;Gold;3197;Gold;3197;100;2025-04-25
361;9113;100009113;Secure;1909;USD Growth Saver;1909;50;2025-12-11
362;9114;100009114;Secure;945;USD Growth Saver;945;75;2024-03-16
363;9146;100009146;Growth;438;Gold;438;50;2025-05-25
364;9147;100009147;Active;1248;Growth;1248;50;2024-04-23
365;9225;100009225;Gold;1162;Gold;1162;75;2025-04-24
366;9232;100009232;USD Growth Saver;1837;USD Growth Saver;1837;75;2024-10-21
367;9246;100009246;USD Growth Saver;1372;USD Growth Saver;1372;50;2024-07-11
368;9248;100009248;EGP AXA10;1060;USD AXA9;1060;25;2025-08-05
369;9260;100009260;Dollar Saver;2824;Sama;2824;100;2025-01-22
370;9317;100009317;Al Safwa;3477;Money Market;3477;100;2025-12-05
371;9325;100009325;Diversified;1712;Conservative;1712;100;2024-12-31
372;9351;100009351;EGP AXA10;1929;Diversified;1929;75;2024-03-01
373;9395;100009395;USD Growth Saver;1693;USD Growth Saver;1693;25;2024-10-04
374;9460;100009460;Secure;803;Conservative;803;25;2024-03-24
375;9510;100009510;Al Safwa;3710;Active;3710;75;2024-04-03
376;9517;100009517;EGP AXA10;943;Money Market;943;75;2024-04-02
377;9555;100009555;USD Growth Saver;648;Sama;648;25;2024-07-30
378;9625;100009625;Equities;1339;Active;1339;100;2024-05-11
379;9645;100009645;Money Market;691;Dollar Saver;691;100;2024-03-23
380;9649;100009649;Gold;1027;USD Growth Saver;1027;50;2025-01-25
381;9660;100009660;Growth;2225;EGP AXA10;2225;75;2024-12-02
382;9685;100009685;Active;1410;Gold;1410;25;2024-05-01
383;9699;100009699;USD AXA9;1088;EGP AXA10;1088;100;2024-12-26
384;9714;100009714;Equities;444;Growth;444;25;2024-05-29
385;9734;100009734;Gold;1977;Diversified;1977;75;2024-12-01
386;9752;100009752;Dollar Saver;933;EGX30 ETF;933;50;2025-04-14
387;9761;100009761;Al Safwa;565;Dollar Saver;565;100;2024-12-03
388;9778;100009778;USD AXA9;2147;USD AXA9;2147;100;2024-04-30
389;9804;100009804;Sama;518;Sama;518;75;2024-07-04
390;9858;100009858;Dollar Saver;202;Gold;202;75;2024-10-25
391;9885;100009885;Gold;1624;USD AXA9;1624;50;2024-06-19
392;9927;100009927;Equities;1419;Secure;1419;25;2025-04-19
393;9929;100009929;Al Safwa;1097;Sama;1097;75;2025-07-23
394;9958;100009958;Conservative;1767;USD AXA9;1767;50;2025-06-28
395;9992;100009992;Secure;3416;Money Market;3416;50;2025-09-05
396;10013;100010013;Money Market;1523;Gold;1523;75;2025-03-30
