id;customer_id;policy_number;alteration;request_date;effective_date
7;13214;100013214;Decrease Benefit Sum Insured;2024-11-01;2024-11-06
8;13214;100013214;Increase Package;2025-02-14;2025-02-18
9;13214;100013214;Suspend Premium Collection;2025-06-13;2025-06-27
10;26317;100026317;Increase Package;2025-10-01;2025-10-13
11;26317;100026317;Cancel Benefit;2025-03-29;2025-03-29
12;26317;100026317;Change Nominated Child & Term;2024-11-15;2024-11-26
13;28026;100028026;Reinstate ULS Benefits;2025-10-15;2025-10-30
14;28026;100028026;Increase Package;2025-04-13;2025-04-24
15;28026;100028026;Reinstate ULS Benefits;2025-05-12;2025-05-26
16;37566;100037566;Change Payer;2024-11-15;2024-11-21
17;37566;100037566;Decline Indexation;2025-11-12;2025-11-14
18;37566;100037566;Remove Indexation;2025-10-02;2025-10-14
31592;49732;100049732;Resume Payments;2024-03-03;2024-03-22
19;4053;100004053;Increase Package;2025-06-27;2025-07-06
20;4053;100004053;Add Indexation;2024-10-27;2024-11-06
21;4053;100004053;Premium Cessation;2025-11-11;2025-11-16
22;8175;100008175;Suspend Premium Collection;2025-02-12;2025-02-20
23;8175;100008175;Change Beneficiaries;2024-07-12;2024-07-16
24;8175;100008175;Decline Indexation;2025-06-01;2025-06-18
25;17414;100017414;Change Bank Detail Information;2024-04-13;2024-04-28
26;17414;100017414;Suspend Premium Collection;2025-04-06;2025-04-11
27;17414;100017414;Decrease Premium;2025-11-07;2025-11-08
28;23493;100023493;Remove Indexation;2025-06-28;2025-07-07
29;23493;100023493;Edit Client Source;2024-11-11;2024-11-21
30;23493;100023493;Change Client Name;2024-02-22;2024-03-02
31;33108;100033108;Edit Client Source;2025-10-26;2025-11-07
32;33108;100033108;Change Payment Method;2025-09-04;2025-09-11
33;33108;100033108;Decrease Premium Without Sum insured Amount;2025-05-24;2025-05-25
34;47272;100047272;Change Payer;2025-07-09;2025-07-20
35;47272;100047272;Decline Indexation;2024-11-06;2024-11-14
36;47272;100047272;Resume Payments;2024-07-06;2024-07-19
37;47898;100047898;Change Payment Method;2025-01-10;2025-01-23
38;47898;100047898;Resume Payments;2025-01-11;2025-01-12
39;47898;100047898;Increase Premium Without Sum insured Amount;2024-04-03;2024-04-22
40;43;100000043;Change Payment Method;2025-01-01;2025-01-06
41;43;100000043;Change Personal Information;2024-06-13;2024-06-21
42;43;100000043;Change Nominated Child & Term;2024-10-17;2024-10-28
43;67;100000067;Cancel Benefit;2024-03-08;2024-03-15
44;67;100000067;Change Personal Information;2025-12-09;2025-12-09
45;67;100000067;Increase Premium;2024-02-16;2024-02-26
46;68;100000068;Add Indexation;2024-10-09;2024-10-22
47;68;100000068;Change Personal Information;2024-08-02;2024-08-02
48;68;100000068;Change Address;2024-07-27;2024-07-27
49;81;100000081;Decrease Benefit Sum Insured;2025-02-04;2025-02-21
50;81;100000081;Change Index Fixed Value;2024-06-18;2024-07-03
51;81;100000081;Policy Termination Payment;2024-06-26;2024-06-26
52;93;100000093;Change Nominated Child & Term;2025-10-17;2025-11-05
53;93;100000093;Remove Indexation;2024-12-04;2024-12-11
54;93;100000093;Policy Ownership Assignment;2025-11-26;2025-11-26
55;95;100000095;Decline Indexation;2025-07-11;2025-07-15
56;95;100000095;Decrease Package;2025-02-07;2025-02-19
57;95;100000095;Decrease Package;2025-08-11;2025-08-30
58;102;100000102;Remove Indexation;2025-02-04;2025-02-23
59;102;100000102;Add Indexation;2025-11-04;2025-11-04
60;102;100000102;Increase Premium;2025-09-12;2025-09-18
61;11;100000011;Change Personal Information;2024-09-16;2024-09-23
62;11;100000011;Reinstate ULS;2025-03-09;2025-03-18
63;11;100000011;Suspend Premium Collection;2025-10-11;2025-10-16
64;16;100000016;Increase Benefit Sum Insured;2024-04-14;2024-04-28
65;16;100000016;Decrease ULS Term;2024-09-13;2024-09-27
66;16;100000016;Change Product;2025-09-20;2025-10-04
67;25;100000025;Policy Ownership Assignment;2024-10-28;2024-11-04
68;25;100000025;Reinstate ULS;2025-11-23;2025-11-28
69;25;100000025;Increase Package;2024-07-18;2024-08-04
70;30;100000030;Change Index Type;2025-02-24;2025-03-07
71;30;100000030;Change Index Type;2024-04-22;2024-05-08
72;30;100000030;Policy Termination Payment;2024-12-25;2025-01-01
73;31;100000031;Extend Term;2024-09-10;2024-09-24
74;31;100000031;Change Index Type;2025-09-30;2025-10-10
75;31;100000031;Remove Indexation;2024-11-18;2024-11-22
76;103;100000103;Increase ULS Term;2024-08-15;2024-08-21
77;103;100000103;Increase Premium;2025-01-16;2025-02-03
78;103;100000103;Change Spouse Information;2024-10-01;2024-10-12
79;110;100000110;Policy Termination Payment;2025-01-01;2025-01-06
80;110;100000110;Resume Payments;2024-03-21;2024-04-06
81;110;100000110;Policy Termination Payment;2024-03-02;2024-03-20
82;155;100000155;Increase Premium;2025-01-28;2025-02-08
83;155;100000155;Change Client Name;2025-01-18;2025-01-28
84;155;100000155;Change Index Type;2024-09-05;2024-09-17
85;162;100000162;Add Indexation;2025-01-13;2025-01-31
86;162;100000162;Policy Ownership Assignment;2024-03-06;2024-03-15
87;162;100000162;Edit Client Source;2024-05-21;2024-06-07
88;193;100000193;Edit Client Source;2024-07-18;2024-07-23
89;193;100000193;Change Beneficiaries;2024-08-14;2024-08-30
90;193;100000193;Increase Premium Without Sum insured Amount;2024-08-03;2024-08-11
91;195;100000195;Change Frequency;2024-12-01;2024-12-18
92;195;100000195;Increase Premium;2024-09-15;2024-10-01
93;195;100000195;Increase Benefit Sum Insured;2024-05-12;2024-05-13
94;253;100000253;Decrease ULS Term;2025-08-04;2025-08-15
95;253;100000253;Change Index Fixed Value;2025-03-13;2025-03-31
96;253;100000253;Change Payer;2024-04-27;2024-05-12
97;224;100000224;Increase Benefit Sum Insured;2025-05-30;2025-06-18
98;224;100000224;Increase Package;2025-04-22;2025-05-11
99;224;100000224;Policy Termination Payment;2024-09-10;2024-09-22
100;227;100000227;Resume Payments;2024-07-23;2024-07-23
101;227;100000227;Premium Cessation;2025-02-25;2025-03-02
102;227;100000227;Change Index Fixed Value;2025-11-26;2025-12-03
103;232;100000232;Change Nominated Child without Term;2025-07-28;2025-08-03
104;232;100000232;Increase Benefit Sum Insured;2024-04-12;2024-04-15
105;232;100000232;Suspend Premium Collection;2024-04-14;2024-04-17
106;242;100000242;Decrease Benefit Sum Insured;2025-01-11;2025-01-18
107;242;100000242;Change Payer;2024-07-09;2024-07-11
108;242;100000242;Increase ULS Term;2024-06-30;2024-07-12
109;266;100000266;Premium Cessation;2024-03-16;2024-03-26
110;266;100000266;Reinstate ULS;2024-10-28;2024-10-29
111;266;100000266;Resume Payments;2025-07-31;2025-08-17
112;268;100000268;Extend Term;2025-09-01;2025-09-13
113;268;100000268;Change Frequency;2024-10-21;2024-11-09
114;268;100000268;Decrease Premium;2025-04-24;2025-05-09
115;272;100000272;Cancel Benefit;2024-10-02;2024-10-02
116;272;100000272;Reinstate ULS;2024-04-12;2024-05-01
117;272;100000272;Extend Term;2025-06-02;2025-06-09
118;283;100000283;Change Spouse Information;2024-10-06;2024-10-14
119;283;100000283;Change Spouse Information;2025-10-28;2025-11-06
120;283;100000283;Decrease Benefit Sum Insured;2025-05-17;2025-06-04
121;307;100000307;Change Nominated Child without Term;2025-06-16;2025-06-30
122;307;100000307;Remove Indexation;2025-08-19;2025-08-28
123;307;100000307;Decline Indexation;2025-01-14;2025-01-24
124;311;100000311;Change Product;2024-02-27;2024-03-16
125;311;100000311;Decrease Package;2025-03-05;2025-03-22
126;311;100000311;Reinstate ULS;2025-08-28;2025-09-01
127;312;100000312;Change Index Type;2025-08-01;2025-08-08
128;312;100000312;Change Nominated Child without Term;2024-03-05;2024-03-16
129;312;100000312;Extend Term;2025-04-06;2025-04-19
130;315;100000315;Change Spouse Information;2024-09-12;2024-10-01
131;315;100000315;Decrease ULS Term;2024-04-17;2024-05-03
132;315;100000315;Premium Cessation;2025-06-10;2025-06-21
133;319;100000319;Add Indexation;2024-06-17;2024-06-30
134;319;100000319;Change Personal Information;2024-10-11;2024-10-27
135;319;100000319;Change Beneficiaries;2024-08-29;2024-09-15
136;320;100000320;Decrease ULS Term;2024-09-02;2024-09-02
137;320;100000320;Extend Term;2025-11-10;2025-11-29
138;320;100000320;Suspend Premium Collection;2025-11-23;2025-12-11
139;334;100000334;Change Bank Detail Information;2024-10-28;2024-10-31
140;334;100000334;Reinstate ULS Benefits;2025-05-29;2025-06-08
141;334;100000334;Change Address;2025-01-24;2025-02-09
142;340;100000340;Resume Payments;2024-02-22;2024-03-06
143;340;100000340;Edit Client Source;2024-08-15;2024-08-31
144;340;100000340;Reinstate ULS;2024-04-01;2024-04-02
145;356;100000356;Decrease Premium Without Sum insured Amount;2024-04-22;2024-04-28
146;356;100000356;Change Client Name;2025-01-28;2025-02-10
147;356;100000356;Decrease Premium Without Sum insured Amount;2025-03-15;2025-03-31
148;365;100000365;Decrease ULS Term;2025-05-13;2025-05-20
149;365;100000365;Premium Cessation;2025-04-01;2025-04-08
150;365;100000365;Policy Termination Payment;2025-02-27;2025-03-15
151;371;100000371;Add Indexation;2025-10-23;2025-10-30
152;371;100000371;Extend Term;2024-03-26;2024-04-07
153;371;100000371;Edit Client Source;2025-04-29;2025-04-30
154;381;100000381;Change Product;2024-05-03;2024-05-17
155;381;100000381;Add Indexation;2024-08-26;2024-09-13
156;381;100000381;Remove Indexation;2025-07-10;2025-07-26
157;392;100000392;Increase Premium;2024-12-28;2025-01-15
158;392;100000392;Policy Ownership Assignment;2025-12-30;2025-12-30
159;392;100000392;Add a benefit;2025-12-23;2025-12-25
160;395;100000395;Edit Client Source;2025-01-14;2025-01-21
161;395;100000395;Increase ULS Term;2024-12-04;2024-12-16
162;395;100000395;Decrease Premium;2025-02-28;2025-03-11
163;405;100000405;Policy Ownership Assignment;2024-12-31;2025-01-06
164;405;100000405;Increase Premium Without Sum insured Amount;2024-04-03;2024-04-03
165;405;100000405;Cancel Benefit;2025-09-26;2025-10-03
166;407;100000407;Change Spouse Information;2025-10-12;2025-10-13
167;407;100000407;Decrease Package;2025-07-29;2025-08-10
168;407;100000407;Cancel Benefit;2024-06-07;2024-06-12
169;412;100000412;Change Beneficiaries;2024-07-31;2024-08-15
170;412;100000412;Add a benefit;2025-09-25;2025-10-13
171;412;100000412;Change Frequency;2024-03-28;2024-03-30
172;419;100000419;Change Bank Detail Information;2025-10-03;2025-10-21
173;419;100000419;Change Nominated Child & Term;2025-01-24;2025-01-24
174;419;100000419;Change Client Name;2025-04-05;2025-04-11
175;420;100000420;Edit Client Source;2025-09-09;2025-09-23
176;420;100000420;Change Bank Detail Information;2025-07-30;2025-08-15
177;420;100000420;Suspend Premium Collection;2024-08-13;2024-08-24
178;428;100000428;Unsuspend Premium Collection;2025-04-26;2025-04-28
179;428;100000428;Decrease Premium Without Sum insured Amount;2024-12-03;2024-12-12
180;428;100000428;Change Nominated Child without Term;2024-07-07;2024-07-16
181;430;100000430;Change Frequency;2025-02-17;2025-02-25
182;430;100000430;Increase ULS Term;2024-06-28;2024-07-01
183;430;100000430;Cancel Benefit;2025-01-12;2025-01-31
184;432;100000432;Decrease Benefit Sum Insured;2024-05-14;2024-05-23
185;432;100000432;Cancel Benefit;2025-08-09;2025-08-12
186;432;100000432;Increase Benefit Sum Insured;2025-01-07;2025-01-16
187;457;100000457;Change Frequency;2024-07-28;2024-08-01
188;457;100000457;Policy Ownership Assignment;2025-05-15;2025-05-21
189;457;100000457;Resume Payments;2024-02-10;2024-02-13
190;463;100000463;Reinstate ULS Benefits;2025-09-11;2025-09-11
191;463;100000463;Change Nominated Child & Term;2025-02-21;2025-03-07
192;463;100000463;Change Address;2025-04-03;2025-04-20
193;464;100000464;Increase Benefit Sum Insured;2025-10-10;2025-10-10
194;464;100000464;Unsuspend Premium Collection;2024-10-03;2024-10-08
195;464;100000464;Change Index Type;2025-02-01;2025-02-02
196;469;100000469;Reinstate ULS Benefits;2024-06-30;2024-07-04
197;469;100000469;Add a benefit;2025-12-15;2025-12-28
198;469;100000469;Edit Client Source;2025-12-14;2025-12-20
199;479;100000479;Reinstate ULS;2024-10-11;2024-10-18
200;479;100000479;Change Nominated Child without Term;2025-06-18;2025-07-01
201;479;100000479;Policy Ownership Assignment;2025-01-11;2025-01-19
202;483;100000483;Increase Benefit Sum Insured;2024-11-24;2024-11-30
203;483;100000483;Increase Premium Without Sum insured Amount;2024-11-12;2024-11-18
204;483;100000483;Change Personal Information;2025-12-13;2025-12-22
205;504;100000504;Change Payer;2024-07-26;2024-08-07
206;504;100000504;Suspend Premium Collection;2024-06-19;2024-07-04
207;504;100000504;Reinstate ULS;2024-09-19;2024-10-04
208;506;100000506;Change Spouse Information;2025-03-11;2025-03-23
209;506;100000506;Change Product;2024-02-28;2024-03-01
210;506;100000506;Edit Client Source;2025-02-11;2025-02-28
211;509;100000509;Decrease Package;2025-04-17;2025-05-02
212;509;100000509;Change Index Fixed Value;2025-08-21;2025-08-31
213;509;100000509;Change Client Name;2025-07-11;2025-07-26
214;515;100000515;Change Client Name;2025-06-12;2025-06-24
215;515;100000515;Increase ULS Term;2025-10-31;2025-11-06
216;515;100000515;Unsuspend Premium Collection;2025-04-01;2025-04-16
217;517;100000517;Change Payment Method;2025-01-07;2025-01-24
218;517;100000517;Decline Indexation;2025-05-14;2025-05-19
219;517;100000517;Extend Term;2025-12-13;2025-12-13
220;533;100000533;Change Personal Information;2025-12-25;2026-01-11
221;533;100000533;Change Bank Detail Information;2025-08-02;2025-08-02
222;533;100000533;Extend Term;2025-12-07;2025-12-21
223;543;100000543;Unsuspend Premium Collection;2025-07-11;2025-07-30
224;543;100000543;Change Nominated Child & Term;2024-12-13;2024-12-31
225;543;100000543;Increase Premium;2025-02-05;2025-02-24
226;548;100000548;Change Address;2024-03-10;2024-03-20
227;548;100000548;Change Index Type;2024-03-18;2024-03-28
228;548;100000548;Change Payer;2024-11-25;2024-11-25
229;553;100000553;Change Nominated Child without Term;2024-04-23;2024-05-05
230;553;100000553;Increase Package;2024-06-28;2024-07-10
231;553;100000553;Increase Package;2024-07-05;2024-07-12
232;557;100000557;Extend Term;2025-06-15;2025-06-18
233;557;100000557;Premium Cessation;2025-02-01;2025-02-03
234;557;100000557;Increase Premium;2025-01-23;2025-01-24
235;559;100000559;Reinstate ULS Benefits;2024-02-04;2024-02-11
236;559;100000559;Change Product;2024-04-03;2024-04-07
237;559;100000559;Suspend Premium Collection;2024-10-12;2024-10-17
238;576;100000576;Decrease Package;2025-04-24;2025-05-08
239;576;100000576;Decrease Benefit Sum Insured;2025-01-13;2025-01-18
240;576;100000576;Reinstate ULS;2024-12-01;2024-12-10
241;617;100000617;Policy Termination Payment;2024-08-10;2024-08-12
242;617;100000617;Edit Client Source;2025-04-24;2025-05-10
243;617;100000617;Change Personal Information;2025-02-06;2025-02-24
244;626;100000626;Change Product;2024-11-28;2024-12-03
245;626;100000626;Change Index Type;2025-01-04;2025-01-14
246;626;100000626;Change Spouse Information;2025-11-09;2025-11-11
247;637;100000637;Decrease ULS Term;2025-01-30;2025-02-13
248;637;100000637;Change Nominated Child without Term;2025-07-23;2025-07-24
249;637;100000637;Decrease Package;2024-06-27;2024-07-13
250;652;100000652;Resume Payments;2025-10-12;2025-10-30
251;652;100000652;Decrease Premium;2025-04-22;2025-04-28
252;652;100000652;Premium Cessation;2024-03-29;2024-03-29
253;653;100000653;Change Client Name;2025-07-19;2025-07-24
254;653;100000653;Remove Indexation;2025-03-09;2025-03-10
255;653;100000653;Decrease ULS Term;2025-04-30;2025-05-12
256;667;100000667;Change Payer;2024-07-19;2024-07-30
257;667;100000667;Increase Premium;2024-02-26;2024-03-11
258;667;100000667;Change Bank Detail Information;2024-12-22;2024-12-23
259;1873;100001873;Change Nominated Child & Term;2025-11-20;2025-12-02
260;1873;100001873;Reinstate ULS;2024-02-21;2024-03-09
261;1873;100001873;Change Personal Information;2024-05-19;2024-06-07
262;691;100000691;Change Index Fixed Value;2024-07-29;2024-08-02
263;691;100000691;Increase Premium Without Sum insured Amount;2024-05-12;2024-05-20
264;691;100000691;Change Nominated Child without Term;2025-09-13;2025-10-01
265;699;100000699;Add Indexation;2025-02-02;2025-02-02
266;699;100000699;Suspend Premium Collection;2025-12-30;2026-01-10
267;699;100000699;Change Nominated Child without Term;2024-05-31;2024-06-17
268;716;100000716;Decrease Package;2025-03-27;2025-03-28
269;716;100000716;Decrease Package;2025-12-08;2025-12-23
270;716;100000716;Extend Term;2025-10-15;2025-11-01
271;747;100000747;Unsuspend Premium Collection;2025-11-25;2025-12-12
272;747;100000747;Resume Payments;2025-03-11;2025-03-23
273;747;100000747;Decrease Package;2025-07-15;2025-07-26
274;763;100000763;Add Indexation;2024-08-21;2024-09-09
275;763;100000763;Reinstate ULS Benefits;2025-02-03;2025-02-05
276;763;100000763;Change Payer;2024-12-03;2024-12-13
277;764;100000764;Reinstate ULS Benefits;2024-09-24;2024-09-27
278;764;100000764;Change Frequency;2025-12-02;2025-12-14
279;764;100000764;Change Client Name;2025-09-08;2025-09-26
280;791;100000791;Increase Benefit Sum Insured;2025-08-08;2025-08-19
281;791;100000791;Change Nominated Child & Term;2024-07-05;2024-07-17
282;791;100000791;Unsuspend Premium Collection;2025-05-22;2025-06-03
283;794;100000794;Policy Termination Payment;2025-12-25;2025-12-31
284;794;100000794;Change Spouse Information;2025-01-30;2025-02-03
285;794;100000794;Change Product;2025-01-27;2025-02-07
286;802;100000802;Resume Payments;2025-12-31;2026-01-14
287;802;100000802;Change Index Fixed Value;2025-07-05;2025-07-07
288;802;100000802;Reinstate ULS;2024-08-15;2024-08-16
289;810;100000810;Suspend Premium Collection;2024-02-06;2024-02-06
290;810;100000810;Decrease ULS Term;2024-08-09;2024-08-26
291;810;100000810;Cancel Benefit;2024-12-19;2024-12-28
292;819;100000819;Resume Payments;2025-04-05;2025-04-21
293;819;100000819;Change Client Name;2024-08-21;2024-09-06
294;819;100000819;Reinstate ULS;2025-12-05;2025-12-22
295;821;100000821;Increase Benefit Sum Insured;2025-12-24;2025-12-24
296;821;100000821;Change Payer;2024-03-24;2024-04-06
297;821;100000821;Change Personal Information;2025-09-22;2025-09-22
298;829;100000829;Decrease Benefit Sum Insured;2024-12-13;2024-12-15
299;829;100000829;Edit Client Source;2025-05-17;2025-05-26
300;829;100000829;Change Payment Method;2025-01-27;2025-02-04
301;852;100000852;Unsuspend Premium Collection;2025-01-16;2025-01-27
302;852;100000852;Resume Payments;2025-08-08;2025-08-15
303;852;100000852;Change Nominated Child & Term;2025-07-22;2025-08-04
304;872;100000872;Add a benefit;2024-09-27;2024-09-28
305;872;100000872;Change Nominated Child & Term;2025-02-25;2025-03-07
306;872;100000872;Increase ULS Term;2025-09-02;2025-09-08
307;893;100000893;Increase Package;2025-12-24;2025-12-25
308;893;100000893;Unsuspend Premium Collection;2024-04-11;2024-04-17
309;893;100000893;Decrease Benefit Sum Insured;2025-08-13;2025-08-25
310;896;100000896;Decrease Benefit Sum Insured;2025-08-23;2025-09-08
311;896;100000896;Change Address;2025-09-15;2025-09-18
312;896;100000896;Change Index Fixed Value;2024-11-22;2024-11-26
313;911;100000911;Policy Termination Payment;2024-09-07;2024-09-16
314;911;100000911;Decrease ULS Term;2025-07-31;2025-08-09
315;911;100000911;Extend Term;2025-08-02;2025-08-14
316;915;100000915;Change Client Name;2024-08-18;2024-09-03
317;915;100000915;Policy Termination Payment;2024-06-09;2024-06-12
318;915;100000915;Decrease Benefit Sum Insured;2024-08-12;2024-08-14
319;920;100000920;Increase Package;2024-10-31;2024-11-03
320;920;100000920;Reinstate ULS Benefits;2024-05-05;2024-05-18
321;920;100000920;Change Personal Information;2025-11-12;2025-11-20
322;922;100000922;Reinstate ULS Benefits;2025-04-03;2025-04-15
323;922;100000922;Reinstate ULS;2024-02-02;2024-02-15
324;922;100000922;Decrease Package;2024-08-12;2024-08-25
325;926;100000926;Change Address;2024-03-21;2024-03-28
326;926;100000926;Increase ULS Term;2024-05-06;2024-05-15
327;926;100000926;Decrease Package;2025-02-23;2025-03-03
328;946;100000946;Decrease Benefit Sum Insured;2024-04-07;2024-04-13
329;946;100000946;Policy Termination Payment;2024-11-09;2024-11-11
330;946;100000946;Extend Term;2025-04-11;2025-04-13
331;972;100000972;Change Frequency;2024-11-03;2024-11-12
332;972;100000972;Change Index Fixed Value;2024-05-29;2024-06-17
333;972;100000972;Increase Benefit Sum Insured;2025-11-16;2025-11-16
334;977;100000977;Change Bank Detail Information;2024-02-07;2024-02-07
335;977;100000977;Decrease Premium Without Sum insured Amount;2024-08-10;2024-08-16
336;977;100000977;Decrease Premium Without Sum insured Amount;2025-02-02;2025-02-15
337;982;100000982;Decrease Premium Without Sum insured Amount;2025-07-24;2025-08-05
338;982;100000982;Change Client Name;2025-09-01;2025-09-07
339;982;100000982;Decrease Premium Without Sum insured Amount;2025-06-06;2025-06-22
340;983;100000983;Decrease Premium Without Sum insured Amount;2025-09-07;2025-09-24
341;983;100000983;Reinstate ULS Benefits;2024-05-05;2024-05-09
342;983;100000983;Change Nominated Child & Term;2024-06-20;2024-07-09
343;984;100000984;Remove Indexation;2024-07-15;2024-07-15
344;984;100000984;Resume Payments;2025-02-27;2025-03-01
345;984;100000984;Increase Benefit Sum Insured;2024-07-19;2024-08-03
346;1006;100001006;Remove Indexation;2025-02-23;2025-03-04
347;1006;100001006;Change Index Fixed Value;2024-03-20;2024-03-26
348;1006;100001006;Change Bank Detail Information;2024-06-19;2024-06-20
349;1009;100001009;Reinstate ULS;2025-08-10;2025-08-17
350;1009;100001009;Change Personal Information;2025-10-15;2025-11-01
351;1009;100001009;Change Payer;2024-09-01;2024-09-20
352;1022;100001022;Change Personal Information;2024-10-15;2024-10-16
353;1022;100001022;Reinstate ULS;2025-07-15;2025-07-16
354;1022;100001022;Extend Term;2025-01-02;2025-01-05
355;1027;100001027;Change Payer;2024-04-01;2024-04-18
356;1027;100001027;Change Nominated Child without Term;2025-01-23;2025-01-24
357;1027;100001027;Policy Ownership Assignment;2024-09-08;2024-09-20
358;1042;100001042;Increase Benefit Sum Insured;2024-08-28;2024-09-04
359;1042;100001042;Add a benefit;2024-09-06;2024-09-09
360;1042;100001042;Increase Premium;2025-10-31;2025-11-06
361;1068;100001068;Increase ULS Term;2025-11-07;2025-11-18
362;1068;100001068;Add a benefit;2025-01-20;2025-02-03
363;1068;100001068;Change Beneficiaries;2025-07-16;2025-07-30
364;1069;100001069;Increase ULS Term;2024-09-22;2024-09-26
365;1069;100001069;Extend Term;2025-04-13;2025-05-02
366;1069;100001069;Reinstate ULS;2025-02-14;2025-02-18
367;1077;100001077;Decrease Package;2024-07-20;2024-07-28
368;1077;100001077;Decrease ULS Term;2025-09-13;2025-09-27
369;1077;100001077;Extend Term;2025-08-26;2025-09-13
370;1080;100001080;Reinstate ULS Benefits;2024-07-22;2024-07-29
371;1080;100001080;Increase Premium;2025-01-26;2025-02-01
372;1080;100001080;Edit Client Source;2024-12-30;2025-01-15
373;1085;100001085;Increase Package;2025-07-02;2025-07-17
374;1085;100001085;Change Address;2025-05-29;2025-06-15
375;1085;100001085;Change Product;2025-07-30;2025-08-03
376;1104;100001104;Add Indexation;2025-05-28;2025-05-29
377;1104;100001104;Extend Term;2025-12-20;2026-01-02
378;1104;100001104;Cancel Benefit;2025-03-09;2025-03-14
379;1106;100001106;Decline Indexation;2025-09-30;2025-10-05
380;1106;100001106;Policy Termination Payment;2024-04-07;2024-04-14
381;1106;100001106;Decline Indexation;2024-11-03;2024-11-13
382;1123;100001123;Decrease Package;2025-11-26;2025-12-07
383;1123;100001123;Change Personal Information;2025-12-19;2025-12-30
384;1123;100001123;Change Personal Information;2025-07-20;2025-07-20
385;1125;100001125;Decrease Premium;2024-11-16;2024-11-17
386;1125;100001125;Unsuspend Premium Collection;2025-10-30;2025-11-10
387;1125;100001125;Change Beneficiaries;2024-08-02;2024-08-04
388;1128;100001128;Change Address;2024-11-13;2024-11-18
389;1128;100001128;Increase Package;2025-04-12;2025-04-23
390;1128;100001128;Decrease ULS Term;2024-05-10;2024-05-20
391;1134;100001134;Cancel Benefit;2025-02-24;2025-03-07
392;1134;100001134;Edit Client Source;2025-04-18;2025-04-28
393;1134;100001134;Reinstate ULS;2024-03-29;2024-04-02
394;1145;100001145;Change Index Fixed Value;2025-05-10;2025-05-22
395;1145;100001145;Reinstate ULS Benefits;2024-11-20;2024-11-26
396;1145;100001145;Premium Cessation;2025-08-12;2025-08-16
397;1178;100001178;Unsuspend Premium Collection;2024-06-13;2024-07-01
398;1178;100001178;Change Frequency;2025-09-14;2025-09-29
399;1178;100001178;Change Address;2024-02-24;2024-02-26
400;1182;100001182;Reinstate ULS Benefits;2024-12-17;2024-12-17
401;1182;100001182;Add a benefit;2025-11-03;2025-11-03
